"","act12h_018","act12h_019","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034","notact_004","notact_007","notact_008"
"px:BRWD1",5.49403315936965,4.85280260226535,0.165282336740453,0.165256893740141,0.165358158131894,5.13267424993431,5.15679514212581,5.57481185949662,0.165217282586324,0.16533041569361,0.165146312215248,0.16520856455054,0.165070812821349
"px:USP1",0.165224248652115,0.165156263384268,4.36776172570153,4.37618018965074,6.4408217580318,4.86843289548679,4.00621020314035,4.08726294317082,0.165385664770855,0.165152316616087,0.165150327571721,0.165290367475766,5.97909729043491
"px:FSCN1",1.56051112850065,2.38156703307911,3.84440985976617,1.61931832099677,2.77119012178319,8.36437727750376,7.94863933692017,7.75696361358819,6.2112915613065,8.66450037508495,0.165303150756933,1.32717045008071,0.165185851154437
"px:MCM8",0.165128609754174,0.165483748302508,2.43412829358307,4.8280207236987,5.94841054902673,6.19171508033625,5.79094752601491,6.04589925283482,0.165193838170582,0.165142388448145,3.79254413354398,5.41262548441449,6.67866523045213
"px:HSPA6",10.4043647541382,10.063744974251,4.93909930721541,4.26488796774277,1.12070859086442,1.83099877478852,2.60159537743508,1.76860475763011,1.18858772446408,4.6443474713315,11.1786029154121,8.89262813128219,9.07788729301229
"px:NCAPD2",3.34107095734477,2.45752435410604,1.03604098586597,9.31700766351506,9.41612504828313,9.35680966000331,9.42737570637873,9.53692734408474,9.2274809979771,9.42864985006214,1.64420268583833,1.79502568154856,2.03117834203385
"px:AXIN1",0.16537791741161,0.165227166832813,0.165108099290475,0.16513631700606,0.165079189618996,0.165097490549597,0.165050862357159,0.165257585974593,0.165306882142322,0.165228031244776,6.31727532747067,6.17026691238012,6.21090525768003
"px:CFI",3.4399925975822,6.7675124636311,0.165277516860137,0.165144012990051,0.165141179572226,0.165283628467467,1.27418547415042,0.165248038152819,0.16510484296506,1.22947447907664,5.01335216356445,4.44328767826635,6.78547322480981
"px:BARD1",0.165082458833468,0.165076333750087,0.165208285823628,4.33463649621797,4.20197139551873,4.57839838086679,4.68158689132327,4.34561304510694,5.42706259927997,5.74359132852312,0.165242337537427,0.165054481396675,0.164935817345267
"px:PTPRK",5.7142505913197,4.50016253837733,6.31666299597034,5.47295060017057,6.81637905775701,6.44805280953688,0.165159765041101,0.165063746230309,5.13563037220261,8.12638150865825,3.90163852408454,0.165060694941277,6.09654654259499
"px:LTA",0.165066212693142,0.165282832587165,3.82198433533423,5.07663838446004,4.51110764898067,5.47773319457055,5.73635623359001,6.52155854441411,2.76757185206293,0.1650482010114,4.14910391937022,0.165284023456167,0.165207472437259
"px:RSPRY1",0.165149415829747,0.165263077710712,0.165241868298525,4.70559596266225,5.01069735405755,4.85280252332476,4.39154593741196,4.44890823517099,0.165358162189108,4.89189559295296,0.165290158076764,0.165179476514034,0.165233207180999
"px:PSMC3IP",7.80244434246899,3.4207744475919,0.165484457540111,0.165241984268646,0.165414905279852,4.81072409880584,3.43998709667169,3.70275568043264,0.165406073771581,0.165224407120735,0.165065306035078,0.165210255180199,0.165130297402698
"px:SLC29A1",4.52501354518134,2.55071307301968,6.32024484581983,7.07752180143184,6.84500811231274,6.52099014637022,6.57273736399786,6.20458696258815,4.58892876786986,4.82253753224963,0.165161724804725,0.165104616013575,0.165064538287829
"px:UBE2S",4.84181185087512,3.80592676070765,4.37078422503012,7.25669718008612,7.81896828909452,6.47391930876929,5.28560501284601,6.09935935650885,6.41104397688133,4.25068119054366,0.165428703419245,0.165080155723123,0.165257477233862
"px:VKORC1",5.3491091090668,5.14984519465247,4.11454303762846,4.47213011737673,0.165142593020987,0.16530371376992,4.09833170563348,0.165215545375115,0.165366700782985,0.165253406476556,4.05460610086511,4.82808648944017,6.13543726940786
"px:CDC42EP3",0.165209898422506,4.64886842867647,8.30842165254275,0.165090730528574,0.165297775871142,0.165185720046331,0.16518598876073,0.165128738854063,0.165175461764561,0.165289073749126,4.40512672342559,0.165482085071736,0.165079164790228
"px:ZNF227",0.165306367086681,0.165205262542515,4.84221055295693,3.91354516207024,4.2771495877386,0.165194527655764,5.09994674987563,0.165322857718421,5.77372130229413,0.165263999575385,0.165294564186186,0.165223343203493,0.165217911928162
"px:PRMT7",6.50946774695083,6.13606423560343,5.31083381386832,2.93564343271178,0.165179854183871,0.165487577982439,2.28497410091451,0.16534650095288,2.0967357664689,0.165273999697827,0.165418493963482,0.165072309210316,0.16524228115355
"px:UGCG",1.01753858443004,0.165317417158311,6.57809924578408,7.12790888374748,4.75077981232842,0.1652262312247,0.16511750092259,1.81024287198203,5.68366648456021,7.01824356420296,4.97920417707652,0.897654297489491,2.92742832541206
"px:PRG4",4.36945620158914,6.83586281000572,4.85669785293162,0.165339994439507,1.31907834713192,0.165262609168373,0.839869473397578,0.165241801426065,0.994697261201785,1.45796113237854,7.61959069108078,5.77311246068617,5.80135081940349
"px:APCS",3.57104619404478,7.55446452148676,1.70787280538262,2.98258556783876,0.165418070235906,0.165379928119141,0.16529324493732,0.165288530308059,1.03634446111555,0.165243623316367,6.34326365707846,4.96740526571907,3.65623764369053
"px:KNSTRN",0.165545299371055,2.32432563777277,0.165123253573331,5.20971678874588,5.61740542064698,5.83656173886095,4.57773097535099,4.67907606670987,3.77034600919814,4.49999934355824,0.165153165569865,0.165221167903344,0.165113963390037
"px:RIN3",6.55434325940921,6.50334200079967,4.86232169949988,2.94792728782912,0.165237037197255,0.165216829834147,2.68522473871911,0.165313672583442,3.38324887999153,2.67835109760432,6.92885274078284,6.4151447433877,7.2169388448773
"px:FAM120C",2.99545351228428,6.76938935881825,2.44062120047149,3.54307692173318,0.165243058625316,0.165299656852462,0.165189772827211,0.16509678807313,0.165134681975105,0.165153145302707,4.95244894048303,4.69724333126421,4.59968256071358
"px:NCAPH",1.92940880412445,1.94493151004379,1.46335570650041,8.49967660308622,8.24589182092588,8.62710961450007,8.53935960293818,8.40331553746446,8.86063621470187,8.40884383754133,0.587285239070551,2.23759420015598,2.40114166130116
"px:POTEE",1.38852329192066,2.44361613962025,1.89926584884852,0.715767163436452,0.780346856287215,1.23412172877017,1.89064374593025,3.16060963497192,2.40416185788595,3.07156125696717,9.82986375887118,9.31638624875486,10.1722661152426
"px:HIVEP3",6.33011768227791,5.43819729852006,5.43541823114914,6.2500989099838,5.07911470712526,5.02209025065437,0.165154745409054,0.165368769863354,0.165098419319341,1.97111066397818,8.05149854669904,2.32938915714349,2.08732453228069
"px:EGR2",6.77150532972538,4.039090468124,5.41428946580322,4.36664653892361,4.41445151003393,0.16523499329172,0.165132718655703,1.76954316061177,0.165092404323792,1.3889741428143,0.165210785841393,0.16505186831889,0.165134742943663
"px:CEP192",9.78122440755335,3.85508600181408,0.792719192955978,0.165137870890609,2.98309456925291,8.7776200341816,1.67468518461454,2.96539644339826,0.16524966222523,2.99433308224503,1.11819776947219,1.00107601678584,1.20937831758418
"px:TAPT1",3.97690335314275,5.77925544093488,3.63100139719321,4.72486741115842,0.165300612803812,0.16519072445504,0.165200579820404,0.1652266878878,4.26881023386665,0.165135969559035,5.29548600112614,4.19391562670452,4.58429407635781
"px:SERAC1",7.24237741244402,7.19642868261221,0.16545941834367,0.165101820948437,0.165124880152452,0.165061290944351,0.16525099158363,0.165042061365515,0.165149364439407,0.165289235433684,0.165054685372906,0.165398951123214,0.165376665848985
"px:SCD",0.165178698738575,0.164972370745271,0.16529357103488,4.24541737467523,4.10825928937156,4.4696420227658,4.75437073761987,4.90232939597851,0.165154867435918,3.82296770668243,0.165208637642774,0.164954247968379,0.165252924314333
"px:CENPQ",4.58155378926639,0.165246204964175,0.165063190389981,3.2002176308792,0.165125443331141,4.14572593407508,5.27739822613044,4.20186817626094,3.5938794158155,5.23721133528698,0.165173316014214,0.165272410888823,0.165052918884646
"px:UCK2",4.55456374192516,2.35596916314054,7.20130915804483,7.80883206615656,8.08586913100865,6.50618721561387,6.41035662499062,6.91160586959449,5.9320830926573,5.08264031149911,0.16526752029336,0.165214036542175,2.04690689320773
"px:CCND2",0.165304200786929,0.165373374597475,7.07512269310229,6.22763973703383,0.165359653422249,0.165407494217483,0.165080695658823,0.165102606729455,0.164991107094813,2.56713055810808,0.165256263630017,2.49151552179985,1.92639852600007
"px:IPPK",0.1652020035635,0.165182064790282,0.165222411450098,0.16519561273027,0.165284556121175,0.165110762241807,0.164979129814016,0.165181208306168,5.48725977695381,6.25889809306831,0.16522608588604,5.13234592698985,0.165055180618687
"px:SPTBN2",6.68991890903886,7.6949476240888,0.165156434739656,0.683132802671637,0.16514667895312,0.165333426276239,0.165064264145785,0.165348200234374,4.48226612454282,0.573917514528956,1.70493296443398,1.30273303510574,1.39445024811384
"px:ZRANB1",2.11549530454667,2.10838430530716,0.165109190456619,4.77348074206715,5.77183985155158,4.34608597372739,4.30021282694028,4.79119705449237,5.38912932373611,0.165547769195802,0.165269981190624,0.16540739696014,0.16507659231458
