"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"ABHD15",1.38435204579226,0,0,0,0,0,1.46579686060428,1.75732057450957,1.63049874032928,1.57423107583509,0.513716292988589,0,0,0.5428461852422,0.236043677798042,0.218006464850472,0,0.185367182802519
"ABHD16A",4.98789126620023,4.56557684572264,3.62387308516894,2.91458445263678,4.94232561561822,4.83993798107802,3.16414888097378,3.69889729662822,3.88989063330424,3.73817936247329,3.97801246901143,3.44993432576184,3.49738605704782,4.28105134618837,4.0996854115138,3.79067978373951,4.42826775206301,3.61653316676202
"ABHD17A",0.862413983731324,1.93322702401235,1.71632495475188,0.964184679646997,0.873402548696171,1.04029577998198,0.901840111030398,0,1.79448531767755,0,0,0,0,0,0,0,0,0
"ABHD5",0,0,0,0,0,0,0,0,0,0,0,1.00869208346832,1.23042773302972,0,0,0,0,0
"ABI1",5.61775382142726,6.0012043029466,6.14439693175948,6.00122940673166,6.17580205667753,6.3954788307405,5.29172614249016,4.98479475649164,4.86982077223483,5.50289772152759,4.72281049051804,4.07349184521675,4.46485855751938,4.80423229893127,5.25657611645989,5.31031252795519,5.24383477620074,5.34399621908398
"ABI3",5.55394408113561,5.81453389269153,6.02309447372716,5.42361278746521,5.87052322451375,5.71857048580414,6.00621181947883,5.16273899018389,5.35755063909023,5.27098934738241,4.42577383755762,4.69198328729186,3.88702185316731,5.07016468633247,5.22317080223686,4.9443803834982,4.80822225405863,5.61516100591731
"ABL1",1.282017076034,2.7108067400419,1.60930660119897,2.3494089196475,1.52709331919652,1.60228653414103,1.57939152228717,1.5472652943157,1.55485957985845,2.1558614492205,0,0,1.24205480004198,0,0,0,0,1.06136701101907
"ABLIM1",7.61986719441329,7.51779566897346,7.37092003462477,7.84235243822358,7.54752423232674,7.52408054844695,7.72363823406699,6.78284666856038,7.44147493193009,7.1452758209663,6.83570885129439,4.67960621603153,3.95454232959639,5.54634525928528,5.68191436707965,5.77389447573566,5.25397138648284,5.82999824406579
"ABLIM2",1.22557781431298,0.985647932381344,1.86295654035253,0.843398667868133,1.35435494300216,1.89249163988097,3.06054921839951,2.17596855989796,2.20206133196364,3.81650414501934,0,1.06148093232643,0,0.762562286239216,1.71482566456251,1.30395146819608,1.41367428004713,0
"ABR",5.86824692194301,5.24568905131181,5.42189060086251,4.92305217190831,5.99772957547432,5.64482049736423,4.82475756327755,4.66111736154299,4.75662435216017,4.46039301325361,4.12886740361922,3.08377415299142,4.00376140710629,3.56182940741305,3.21149284257742,3.94789575569973,4.27523672900698,3.64303307043908
"ABRACL",5.47534621538671,7.48739793428891,5.60147658618567,6.67018416675069,7.25160844959929,8.80557161125047,2.13946548455414,7.27131996878194,6.90640224248627,7.93650518345934,6.69577530925889,7.11329317739069,7.40576765621317,8.04625764885421,8.27539926791879,8.40582754697644,6.96840968355347,7.51020854187486
"ABT1",3.6428318068166,4.98979881348522,4.16840560317665,2.30106789434418,2.05647785067359,4.45122742279281,3.69454920004932,2.61353048508764,2.74311235471524,1.69067552241444,4.9090802731659,5.32516569420103,4.92128512494685,4.48701664843427,5.03777434172672,4.40445880536779,4.04439707959539,4.08221310401038
"ACAA1",6.07917068345261,6.23258873597144,4.82518583261979,5.20866370673656,5.67728759996683,5.91886548917012,5.4739430636174,5.75345863228403,5.60288449982621,5.27649972037263,5.18996014085018,5.17482792673569,5.61756748127939,6.61099176450104,6.53132079738492,6.71097327928406,6.58148383337923,6.88870129701652
"ACAA2",8.5775868578473,9.15924204646699,9.4749433516187,9.08874907346984,9.5723780508906,9.63354477556582,7.9745490102024,8.46339803636837,8.60107876203318,8.43640609294933,7.57165572142442,8.00130897146579,7.65222968490979,8.52884937535044,8.34263267332164,8.26710532020276,9.11763983853855,8.87511796454864
"ACACA",3.32332543530012,3.07598915059185,3.89086228268453,2.08796333835156,1.03565657122922,3.06198921989379,3.35157236386952,4.11832582850781,3.7928217644221,4.05541150225519,4.81144850788706,6.23815741083094,6.11137647943593,5.17538698164307,6.53723785743886,7.45695086951815,5.4058313591837,5.23126794706886
"ACACB",3.06078829418894,3.31087871295892,3.65725332345436,2.3128941510514,1.1070794716154,0.621713222982458,1.95596131778461,0,2.80365653043153,0,0,0,1.63797135213683,1.35990901395467,1.81146680696203,1.34806806074629,1.76064789851159,0
"ACAD10",1.39549062927932,1.07209368505213,1.09054360344493,2.67864651755157,2.04388680189274,1.06166724573082,1.06912425092376,0,0,2.25116022611575,0,1.67625720477971,1.24520419598819,2.63632612812598,2.62274876828317,2.17674043177973,2.14285429595732,0
